-3.7167,-40.4167
2.1769,-41.3825
-5.99,-37.39
-4.42,-36.7194
-0.3764,-39.47
-0.883,-41.6483
2.65,-39.5667
-1.1303,-37.9861
-15.4314,-28.1272
-8.4188,-43.3713
-2.9236,-43.2569
-0.4831,-38.3453
-4.7796,-37.8845
-4.7236,-41.6528
-8.7124,-42.2314
-5.7,-43.5333
-2.6833,-42.85
-0.6983,-38.2669
-3.6008,-37.1781
2.0081,-41.5611
2.2333,-41.4333
-5.845,-43.36
-0.7967,-38.4789
2.1075,-41.5483
-0.9819,-37.6
-6.1378,-36.6817
-16.25,-28.4667
-1.65,-42.8167
-5.57,-42.6056
-2.4681,-36.8403
-2.4456,-42.465
-3.8,-40.2833
-3.7644,-40.3281
-1.98,-43.32
2.4445,-41.5421
-1.8558,-38.9956
-0.0331,-39.9831
-3.805,-43.4628
-3.7311,-40.3047
-3.8333,-40.35
-3.6822,-42.35
-3.1674,-40.6337
-16.3167,-28.4853
-6.9753,-38.8803
-4.8833,-36.5167
-5.6639,-40.9667
-6.95,-37.25
-2.9383,-35.2937
1.2453,-41.1187
-5.9222,-37.2836
-3.4978,-40.4614
-5.4539,-36.1275
-6.2975,-36.535
-3.7711,-37.7667
1.1087,-41.1549
2.8167,-41.9833
-2.9917,-43.2972
